,tweet,name_author,user_tag,favourite_count,retweet_count,created_at
27,"RT @jsblokland: While many investors are always trying to find the next #Amazon or #Tesla (which is extremely hard), getting your asset all…",Franklin Joe,@Franklin662,0,17,2022-06-21 01:54:40+00:00
28,Check out Tesla Black Baseball Cap #Tesla https://t.co/g1z9fVHg27 #eBay via @eBay,Shepherdson Grace,@bookarrow,0,0,2022-06-21 01:53:47+00:00
29,"🔥👽 Episode 100 of Elon Musk Radio!

The Boring Company &amp; Tesla ‘Vegas Loop’ Update! 20th June 2022 

👇👇👇👇

https://t.co/RuEfRuVZyH

👆👆👆👆

#Tesla #ElonMusk #TheBoringCompany #BoringCompany #LasVegas #vegasloop https://t.co/OOrRW3lGOW",Elon Musk Radio,@ElonMuskRadio,2,0,2022-06-21 01:53:27+00:00
30,"RT @hmmkay10: So if Texas secedes, will the California transplants follow? #tesla #Toyota #californians #movingtotexas #keepcaliforniansout…",hmmkay...💜🤍💚🦖♀️🇺🇸,@hmmkay10,0,1,2022-06-21 01:51:23+00:00
31,"In 2021, #Tesla invested $1.5B in #bitcoin and began accepting it as payment. Since then, the company's cryptocurrency assets have depreciated by $500M. However, Musk continues to #invest not only with company funds but also personal ones, believing in the long-term perspective. https://t.co/D6yY2qUXyQ",T4,@t4_research,0,0,2022-06-21 01:47:00+00:00
32,@elonmusk please bring back boombox while driving🙏🏾 I didn’t get to have my fun😂#tesla,Nick Jones〽️,@Childi5hBambin0,0,0,2022-06-21 01:46:37+00:00
33,"RT @jurijkovalenok1: High Voltage Engineering 
#physics #voltage #ElonMusk #Tesla #engineer https://t.co/ErO74hOj7i",Sheylin Wimora Lumban Tobing,@SheylinWimora,0,2,2022-06-21 01:46:04+00:00
34,Driving a #Tesla warms the Earth.  It stops making water vapor in the exhaust which makes less clouds.  That reflects less sunlight and warms the earth. https://t.co/CbHc5WSP12,Donald E. Pauly,@trojancowboy,1,0,2022-06-21 01:45:35+00:00
35,RT @TheTeslaLife: #Tesla #Model3 Battery Degradation Test: 8% Down In 3-Years/102k Miles https://t.co/DAcy6wAW2I https://t.co/DfR5RisnCg,Cody Brashears,@cody_brashears,0,3,2022-06-21 01:43:57+00:00
36,"Still alive and kicking, just been busy with life and a handful of other things 🤣
#elongate #tesla #elongatetesla #CryptoCommunity https://t.co/HzDCYWBeTd",ElongateTesla,@ElongateTesla,0,0,2022-06-21 01:43:05+00:00
37,"RT @ChinaBeigeBook: ""#Tesla cars will be prohibited from entering Beidaihe, site of a secretive annual summer party leadership conclave, fo…",Shehzad Qazi,@shehzadhqazi,0,5,2022-06-21 01:41:54+00:00
38,"So if Texas secedes, will the California transplants follow? #tesla #Toyota #californians #movingtotexas #keepcaliforniansout #texas #TexasSecession",hmmkay...💜🤍💚🦖♀️🇺🇸,@hmmkay10,0,1,2022-06-21 01:41:10+00:00
39,"RT @sophia_isa: India’s electric cars will eat Tesla’s lunch thanks to Elon Musk's arrogance, says fanboy Vivek Wadhwa. As a @tesla fangirl…",Vivek Wadhwa,@wadhwa,0,1,2022-06-21 01:40:53+00:00
40,#tesla #Starlink #ElonMusk @elonmusk It is generating visual and spatial pollution with its network of satellites.,J DC,@ArthDCS,0,0,2022-06-21 01:39:11+00:00
41,"RT @KCBC_NFT: Here is one reason to get a Mint Access Pass.... #Tesla

Secured Website &amp; Roadmap @ 
https://t.co/MPhA1i8A94

#NFT
#NFTs
#nf…",JAY 2K,@JCSINVEST1,0,1,2022-06-21 01:38:23+00:00
42,RT @mohammed_jebbar: Meet me at @SelectUSA in Maryland Washington DC on the 27 and 28th June and discover how The Cube is changing the rule…,Incognito Tech,@INCOGNTECH,0,3,2022-06-21 01:36:04+00:00
43,RT @mohammed_jebbar: Meet me at @SelectUSA in Maryland Washington DC on the 27 and 28th June and discover how The Cube is changing the rule…,Black Dragon,@Black_Dragon123,0,3,2022-06-21 01:35:26+00:00
44,#TexasSecession Gee I wonder what #ElonMusk will think when he realizes that he moved his plants from CA to TX to avoid NDA disclosures and now he will have to pay a super high tariff before an American will be able to buy his crappy #tesla cars.,The Burly Old Geezer,@resop2,1,0,2022-06-21 01:34:35+00:00
45,"RT @ThisIsMarietta: Elon Musk says Tesla may have a working humanoid robot prototype by September 30th!
I HATE ROBOTS, so I'm sure somehow…",Watchara Nopparit,@faatE3KJCsqjxt6,0,5,2022-06-21 01:32:42+00:00
46,Top CEOs bracing for an economic recession #tesla #policymakers #jpmorganchase #jamiedimon #federalreserve #downturn #fintwit https://t.co/OYEUNsPvV0,BizToc News,@biztocnews,0,0,2022-06-21 01:32:03+00:00
